"KOODIARVO","NIMI_FI","NIMI_SV","ALKUPVM","LOPPUPVM"
"08110","Kirjastonhoitaja (yleinen kirjasto)","Bibliotekarie (allmänt bibliotek)",19.5.2011,
"08110","Läänin kirjastonhoitaja","Länsbibliotekarie",19.5.2011,
"08120","Tieteellisen kirjaston kirjastonhoitaja","Bibliotekarie (vetenskapligt bibliotek)",19.5.2011,
"08120","Kirjastoneuvos","Biblioteksråd",19.5.2011,
"08120","Kirjastonhoitaja (tieteellinen kirjasto)","Bibliotekarie (vetenskapligt bibliotek)",19.5.2011,
"08120","Valtionkirjastonhoitaja","Riksbibliotekarie",19.5.2011,
"08120","Ylikirjastonhoitaja","Överbibliotekarie",19.5.2011,
"08130","Yrityksen tms. kirjastonhoitaja","Företagsbibliotekarie o.dyl.",19.5.2011,
"08130","Kirjastonhoitaja (yrityksessä tms.)","Bibliotekarie (företagsbibliotekarie o.dyl.)",19.5.2011,
"00295","Röntgenteknikko","Röntgentekniker",19.5.2011,
"08130","Teollisuuden kirjastonhoitaja","Industribibliotekarie",19.5.2011,
"08140","Kirjastoapulainen","Biblioteksbiträde",19.5.2011,
"08140","Kirjastovirkailija","Biblioteksfunktionär",19.5.2011,
"08190","Muut kirjastotyöntekijät","Övriga bibliotekarier",19.5.2011,
"08190","Oppimateriaalivaraston hoitaja","Föreståndare för läromedelsförråd",19.5.2011,
"08190","Järjestelyapulainen (kirjasto)","Organisationsbiträde (bibliotek)",19.5.2011,
"082","Arkisto- ja museotyöntekijät","Arkivarier, museianställda",19.5.2011,
"08210","Arkistonhoitaja","Arkivarie",19.5.2011,
"08210","Arkistoneuvos","Arkivråd",19.5.2011,
"08210","Kaupunginarkistonhoitaja","Stadsarkivarie",19.5.2011,
"003","Elektron., autom. ja tietotekn.insin. ja teknikot","Ingenjörer o. tekniker i elektr. autom.datatek.",19.5.2011,
"08210","Maakunta-arkistonhoitaja","Landsarkivarie",19.5.2011,
"08210","Sota-arkistonhoitaja","Arkivarie vid krigsarkiv",19.5.2011,
"08210","Valtionarkistonhoitaja","Riksarkivarie",19.5.2011,
"08220","Arkistoapulainen","Arkivbiträde",19.5.2011,
"08220","Tekninen apulainen","Tekniskt biträde",19.5.2011,
"08230","Museonhoitaja","Museiföreståndare",19.5.2011,
"08230","Museoamanuenssi","Museiamanuens",19.5.2011,
"08230","Museoavustaja","Museiassistent",19.5.2011,
"08230","Museointendentti","Museiintendent",19.5.2011,
"08290","Muut arkisto- ja museotyöntekijät","Övriga arkivarier och museianställda",19.5.2011,
"00310","Elektroniikkainsinööri","Elektronikingenjör",19.5.2011,
"08290","Filmiarkistonhoitaja","Filmarkivarie",19.5.2011,
"08290","Nauha-arkistonhoitaja","Bandarkivarie",19.5.2011,
"083","Informaatikot","Informatiker",19.5.2011,
"08310","Informaatikko","Informatiker",19.5.2011,
"08310","Dokumantalisti","Dokumentalist",19.5.2011,
"08390","Muut informaatikot","Övriga informatiker",19.5.2011,
"089","Muu kirjasto- ja informaatioala","Övrigt biblioteksarbete och informatik",19.5.2011,
"08990","Muut kirjasto- ja informaatioalan työtä tekevät","Övriga inom biblioteksarbete och informatik",19.5.2011,
"09","Muu tieteell. asiantuntijatyö, humanistinen työ","Övrigt vetenskapligt expertarb., humanistiskt ar",19.5.2011,
"091","Yhteiskunnallisen alan tutkijat","Samhällsforskare",19.5.2011,
"00310","Automaatiotekniikan insinööri","Automationsteknisk ingenjör",19.5.2011,
"09110","Taloustutkija","Nationalekonom",19.5.2011,
"09110","Ekonometrikko","Ekonometriker",19.5.2011,
"09120","Yritystutkija","Företagsforskare",19.5.2011,
"09120","Yritysneuvoja","Företagsrådgivare",19.5.2011,
"09120","Yrityskonsultti","Företagskonsult",19.5.2011,
"00030","Kaupunginarkkitehti","Stadsarkitekt",19.5.2011,
"09130","Tilastotutkija","Statistiker",19.5.2011,
"09130","Aktuaari","Aktuarie",19.5.2011,
